data_pregao,preco_ultimo
2020-01,0.000961538461537792
2020-02,-0.08683957732949077
2020-03,-0.18114874815905746
2020-04,0.005138746145940454
2020-05,0.08410020449897782
2020-06,-0.007545390238151151
2020-07,0.09693513898788364
2020-08,-0.07667316439246286
2020-09,-0.053483462350457533
2020-10,-0.011400247831474974
2020-11,0.06141890198044697
2020-12,0.03778932451582384
2021-01,-0.022303140646336095
2021-02,-0.04213221601489758
2021-03,0.01652490886998792
2021-04,-0.027731293330145346
2021-05,-0.021637570690926866
2021-06,-0.016084443327469167
2021-07,-0.031162196679438314
2021-08,-0.01001845504877441
